,Abaxial  (1000ppm Sat),Abaxial (2000ppm Sat),,,Abaxial (1000ppm 10ml),Abaxial (2000ppm 10ml),,Adaxial  (1000ppm Sat),Adaxial  (2000ppm Sat),,,Adaxial  (1000ppm 10ml),Adaxial  (2000ppm 10ml),,,,,,
,173.862,115.908,,,147.114,133.74,,245.19,89.16,,,267.48,120.366,,,,,,
,138.198,89.16,,,222.9,80.244,,98.076,160.488,,,218.442,66.87,,,,,,
,115.908,98.076,,,160.488,75.786,,120.366,129.282,,,236.274,75.786,,,,,,
,120.366,84.702,,,129.282,66.87,,124.824,147.114,,,263.022,71.328,,,,,,
,129.282,75.786,,,205.068,57.954,,142.656,173.862,,,276.396,80.244,,,,,,
,115.908,98.076,,,196.152,66.87,,106.992,187.236,,,303.144,71.328,,,,,,
,124.824,84.702,,,151.572,66.87,,115.908,124.824,,,316.518,93.618,,,,,,
,133.74,147.114,,,267.48,84.702,,106.992,138.198,,,245.19,84.702,,,,,,
,151.572,102.534,,,298.686,120.366,,151.572,49.038,,,254.106,102.534,,,,,,
,151.572,80.244,,,222.9,142.656,,173.862,40.122,,,387.846,75.786,,,,,,
,138.198,71.328,,,196.152,124.824,,178.32,49.038,,,316.518,84.702,,,,,,
,124.824,120.366,,,258.564,93.618,,196.152,80.244,,,289.77,66.87,,,,,,
,133.74,84.702,,,258.564,169.404,,160.488,62.412,,,258.564,120.366,,,,,,
,120.366,111.45,,,222.9,173.862,,169.404,111.45,,,258.564,71.328,,,,,,
,142.656,75.786,,,222.9,142.656,,182.778,71.328,,,271.938,93.618,,,,,,
,142.656,66.87,,,218.442,151.572,,129.282,133.74,,,115.908,93.618,,,,,,
,133.74,49.038,,,245.19,147.114,,138.198,129.282,,,173.862,120.366,,,,,,
,147.114,89.16,,,280.854,124.824,,142.656,133.74,,,187.236,106.992,,,,,,
,124.824,80.244,,,276.396,142.656,,111.45,129.282,,,124.824,111.45,,,,,,
,129.282,75.786,,,213.984,111.45,,160.488,133.74,,,178.32,93.618,,,,,,
,106.992,106.992,,,236.274,169.404,,106.992,106.992,,,169.404,106.992,,,,,,
,120.366,93.618,,,178.32,209.526,,191.694,111.45,,,169.404,106.992,,,,,,
,124.824,115.908,,,231.816,93.618,,71.328,138.198,,,276.396,111.45,,,,,,
,173.862,98.076,,,191.694,102.534,,80.244,151.572,,,254.106,84.702,,,,,,
,147.114,75.786,,,178.32,120.366,,93.618,129.282,,,285.312,75.786,,,,,,
,129.282,120.366,,,205.068,111.45,,102.534,178.32,,,267.48,80.244,,,,,,
,178.32,111.45,,,147.114,98.076,,111.45,160.488,,,218.442,57.954,,,,,,
,160.488,129.282,,,205.068,115.908,,84.702,164.946,,,222.9,71.328,,,,,,
,164.946,124.824,,,222.9,98.076,,102.534,218.442,,,236.274,75.786,,,,,,
,102.534,102.534,,,267.48,218.442,,98.076,151.572,,,271.938,142.656,,,,,,
,142.656,120.366,,,249.648,129.282,,196.152,187.236,,,280.854,147.114,,,,,,
,200.61,142.656,,,258.564,205.068,,102.534,147.114,,,240.732,138.198,,,,,,
,147.114,147.114,,,280.854,133.74,,173.862,156.03,,,222.9,173.862,,,,,,
,227.358,120.366,,,191.694,142.656,,124.824,138.198,,,267.48,93.618,,,,,,
,178.32,93.618,,,303.144,187.236,,196.152,111.45,,,222.9,133.74,,,,,,
,191.694,147.114,,,316.518,205.068,,147.114,156.03,,,258.564,124.824,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
